,0
AP.districts.Visakhapatnam.delta7.confirmed,237
AP.districts.Visakhapatnam.delta7.deceased,1
AP.districts.Visakhapatnam.delta7.recovered,227
AP.districts.Visakhapatnam.delta7.vaccinated1,65301
AP.districts.Visakhapatnam.delta7.vaccinated2,207340
AP.districts.Visakhapatnam.meta.population,4288113
AP.districts.Visakhapatnam.meta.tested.date,2020-11-26
AP.districts.Visakhapatnam.total.confirmed,157737
AP.districts.Visakhapatnam.total.deceased,1127
AP.districts.Visakhapatnam.total.recovered,156492
AP.districts.Visakhapatnam.total.tested,744983
AP.districts.Visakhapatnam.total.vaccinated1,2999432
AP.districts.Visakhapatnam.total.vaccinated2,1864960
AP.districts.Vizianagaram.delta.confirmed,7
AP.districts.Vizianagaram.delta.deceased,1
AP.districts.Vizianagaram.delta.recovered,11
AP.districts.Vizianagaram.delta.vaccinated1,601
AP.districts.Vizianagaram.delta.vaccinated2,1855
AP.districts.Vizianagaram.delta21_14.confirmed,30
AP.districts.Vizianagaram.delta7.confirmed,53
AP.districts.Vizianagaram.delta7.deceased,1
AP.districts.Vizianagaram.delta7.recovered,38
AP.districts.Vizianagaram.delta7.vaccinated1,44847
AP.districts.Vizianagaram.delta7.vaccinated2,123576
AP.districts.Vizianagaram.meta.population,2342868
AP.districts.Vizianagaram.meta.tested.date,2020-11-26
AP.districts.Vizianagaram.total.confirmed,82967
AP.districts.Vizianagaram.total.deceased,672
AP.districts.Vizianagaram.total.recovered,82231
AP.districts.Vizianagaram.total.tested,531433
AP.districts.Vizianagaram.total.vaccinated1,1393491
AP.districts.Vizianagaram.total.vaccinated2,996097
AP.districts.West Godavari.delta.confirmed,40
AP.districts.West Godavari.delta.recovered,44
AP.districts.West Godavari.delta.vaccinated1,878
AP.districts.West Godavari.delta.vaccinated2,1884
AP.districts.West Godavari.delta21_14.confirmed,171
AP.districts.West Godavari.delta7.confirmed,234
AP.districts.West Godavari.delta7.deceased,4
AP.districts.West Godavari.delta7.recovered,246
AP.districts.West Godavari.delta7.vaccinated1,61021
AP.districts.West Godavari.delta7.vaccinated2,146562
AP.districts.West Godavari.meta.population,3934782
AP.districts.West Godavari.meta.tested.date,2020-11-26
AP.districts.West Godavari.total.confirmed,179077
AP.districts.West Godavari.total.deceased,1117
AP.districts.West Godavari.total.recovered,177680
AP.districts.West Godavari.total.tested,793098
AP.districts.West Godavari.total.vaccinated1,2525317
AP.districts.West Godavari.total.vaccinated2,1778807
AP.districts.Y.S.R. Kadapa.delta.confirmed,12
AP.districts.Y.S.R. Kadapa.delta.recovered,25
AP.districts.Y.S.R. Kadapa.delta.vaccinated1,1005
AP.districts.Y.S.R. Kadapa.delta.vaccinated2,1101
AP.districts.Y.S.R. Kadapa.delta21_14.confirmed,146
AP.districts.Y.S.R. Kadapa.delta7.confirmed,82
AP.districts.Y.S.R. Kadapa.delta7.recovered,163
AP.districts.Y.S.R. Kadapa.delta7.vaccinated1,65843
AP.districts.Y.S.R. Kadapa.delta7.vaccinated2,90958
AP.districts.Y.S.R. Kadapa.meta.population,2884524
AP.districts.Y.S.R. Kadapa.meta.tested.date,2020-11-26
AP.districts.Y.S.R. Kadapa.total.confirmed,115623
AP.districts.Y.S.R. Kadapa.total.deceased,644
AP.districts.Y.S.R. Kadapa.total.recovered,114904
AP.districts.Y.S.R. Kadapa.total.tested,671761
AP.districts.Y.S.R. Kadapa.total.vaccinated1,1824032
AP.districts.Y.S.R. Kadapa.total.vaccinated2,1328711
AP.meta.date,2021-10-31
AP.meta.last_updated,2021-11-01T09:54:14+05:30
AP.meta.population,52221000
AP.meta.tested.date,2021-10-31
AP.meta.tested.source,https://twitter.com/ArogyaAndhra/status/1454748197272711177
AP.meta.vaccinated.date,2021-10-31
AP.total.confirmed,2066450
AP.total.deceased,14373
AP.total.recovered,2047722
AP.total.tested,29518787
AP.total.vaccinated1,32976969
AP.total.vaccinated2,20375181
AR.delta.confirmed,1
AR.delta.recovered,9
AR.delta.tested,334
AR.delta.vaccinated1,42
AR.delta.vaccinated2,195
AR.delta21_14.confirmed,87
AR.delta7.confirmed,66
AR.delta7.recovered,97
AR.delta7.tested,4788
AR.delta7.vaccinated1,3312
AR.delta7.vaccinated2,23647
AR.districts.Anjaw.delta7.vaccinated1,45
AR.districts.Anjaw.delta7.vaccinated2,452
AR.districts.Anjaw.meta.population,21089
AR.districts.Anjaw.meta.tested.date,2021-01-28
AR.districts.Anjaw.total.confirmed,1068
AR.districts.Anjaw.total.deceased,3
AR.districts.Anjaw.total.recovered,1065
AR.districts.Anjaw.total.tested,2845
AR.districts.Anjaw.total.vaccinated1,11695
AR.districts.Anjaw.total.vaccinated2,7957
AR.districts.Capital Complex.meta.tested.date,2020-12-24
AR.districts.Capital Complex.total.tested,115210
AR.districts.Changlang.delta.recovered,1
AR.districts.Changlang.delta7.confirmed,3
AR.districts.Changlang.delta7.recovered,3
AR.districts.Changlang.delta7.vaccinated1,298
AR.districts.Changlang.delta7.vaccinated2,3803
AR.districts.Changlang.meta.population,147951
AR.districts.Changlang.meta.tested.date,2021-01-28
AR.districts.Changlang.total.confirmed,3807
AR.districts.Changlang.total.deceased,22
AR.districts.Changlang.total.recovered,3780
AR.districts.Changlang.total.tested,23861
AR.districts.Changlang.total.vaccinated1,88857
AR.districts.Changlang.total.vaccinated2,55361
AR.districts.East Kameng.delta.vaccinated2,1
AR.districts.East Kameng.delta7.vaccinated1,76
AR.districts.East Kameng.delta7.vaccinated2,409
AR.districts.East Kameng.meta.population,78413
AR.districts.East Kameng.meta.tested.date,2021-01-28
AR.districts.East Kameng.total.confirmed,1094
AR.districts.East Kameng.total.recovered,1094
AR.districts.East Kameng.total.tested,7489
AR.districts.East Kameng.total.vaccinated1,22931
AR.districts.East Kameng.total.vaccinated2,15646
AR.districts.East Siang.delta.recovered,5
AR.districts.East Siang.delta21_14.confirmed,2
AR.districts.East Siang.delta7.confirmed,9
AR.districts.East Siang.delta7.recovered,10
AR.districts.East Siang.delta7.vaccinated1,365
AR.districts.East Siang.delta7.vaccinated2,2013
AR.districts.East Siang.meta.population,99019
AR.districts.East Siang.meta.tested.date,2021-01-28
AR.districts.East Siang.total.confirmed,3206
AR.districts.East Siang.total.deceased,17
AR.districts.East Siang.total.recovered,3183
AR.districts.East Siang.total.tested,21867
AR.districts.East Siang.total.vaccinated1,54001
AR.districts.East Siang.total.vaccinated2,39434
AR.districts.Kamle.delta7.vaccinated1,36
AR.districts.Kamle.delta7.vaccinated2,185
AR.districts.Kamle.meta.population,22256
AR.districts.Kamle.meta.tested.date,2021-01-28
AR.districts.Kamle.total.confirmed,512
AR.districts.Kamle.total.recovered,512
AR.districts.Kamle.total.tested,1385
AR.districts.Kamle.total.vaccinated1,6946
AR.districts.Kamle.total.vaccinated2,3874
AR.districts.Kra Daadi.delta7.vaccinated1,5
AR.districts.Kra Daadi.delta7.vaccinated2,23
AR.districts.Kra Daadi.meta.tested.date,2021-01-28
AR.districts.Kra Daadi.total.confirmed,270
AR.districts.Kra Daadi.total.recovered,270
AR.districts.Kra Daadi.total.tested,3218
AR.districts.Kra Daadi.total.vaccinated1,6275
AR.districts.Kra Daadi.total.vaccinated2,3272
AR.districts.Kurung Kumey.delta7.vaccinated1,27
AR.districts.Kurung Kumey.delta7.vaccinated2,255
AR.districts.Kurung Kumey.meta.population,89717
AR.districts.Kurung Kumey.meta.tested.date,2021-01-28
AR.districts.Kurung Kumey.total.confirmed,511
AR.districts.Kurung Kumey.total.deceased,1
AR.districts.Kurung Kumey.total.recovered,510
AR.districts.Kurung Kumey.total.tested,4201
AR.districts.Kurung Kumey.total.vaccinated1,9121
AR.districts.Kurung Kumey.total.vaccinated2,5601
AR.districts.Lepa Rada.delta.vaccinated1,6
AR.districts.Lepa Rada.delta.vaccinated2,54
AR.districts.Lepa Rada.delta7.recovered,1
AR.districts.Lepa Rada.delta7.vaccinated1,40
AR.districts.Lepa Rada.delta7.vaccinated2,307
AR.districts.Lepa Rada.meta.tested.date,2021-01-28
AR.districts.Lepa Rada.total.confirmed,874
AR.districts.Lepa Rada.total.deceased,3
AR.districts.Lepa Rada.total.recovered,871
AR.districts.Lepa Rada.total.tested,6747
AR.districts.Lepa Rada.total.vaccinated1,13328
AR.districts.Lepa Rada.total.vaccinated2,10176
AR.districts.Lohit.delta21_14.confirmed,2
AR.districts.Lohit.delta7.confirmed,9
AR.districts.Lohit.delta7.recovered,3
AR.districts.Lohit.delta7.vaccinated1,221
AR.districts.Lohit.delta7.vaccinated2,1494
AR.districts.Lohit.meta.population,145538
AR.districts.Lohit.meta.tested.date,2021-01-28
